Entity,Code,Year,"Average years of schooling gender ratio, 15-64 year olds"
Afghanistan,AFG,2015,0.5623003
Afghanistan,AFG,2020,0.7125926
Afghanistan,AFG,2025,0.7846154
Afghanistan,AFG,2030,0.8636364
Afghanistan,AFG,2035,0.9195402
Afghanistan,AFG,2040,0.9622412
Afghanistan,AFG,1985,0.18815333
Afghanistan,AFG,1990,0.21726191
Afghanistan,AFG,1995,0.25396824
Afghanistan,AFG,2000,0.26483053
Afghanistan,AFG,2005,0.28235295
Afghanistan,AFG,2010,0.38078293
Afghanistan,AFG,1870,1
Afghanistan,AFG,1875,1
Afghanistan,AFG,1880,1
Afghanistan,AFG,1885,1
Afghanistan,AFG,1890,1
Afghanistan,AFG,1895,1
Afghanistan,AFG,1900,1
Afghanistan,AFG,1905,1
Afghanistan,AFG,1910,0.5
Afghanistan,AFG,1915,0.25
Afghanistan,AFG,1920,0.19999999
Afghanistan,AFG,1925,0.16666667
Afghanistan,AFG,1930,0.14285713
Afghanistan,AFG,1935,0.125
Afghanistan,AFG,1940,0.18181817
Afghanistan,AFG,1945,0.16666666
Afghanistan,AFG,1950,0.17021276
Afghanistan,AFG,1955,0.1509434
Afghanistan,AFG,1960,0.13846155
Afghanistan,AFG,1965,0.13157895
Afghanistan,AFG,1970,0.13709678
Afghanistan,AFG,1975,0.13939394
Afghanistan,AFG,1980,0.16666667
Africa,,2015,0.8663694
Africa,,2020,0.8989947
Africa,,2025,0.9269782
Africa,,2030,0.9485994
Africa,,2035,0.9665528
Africa,,2040,0.98175836
Africa,,1870,0.10099368
Africa,,1875,0.08352475
Africa,,1880,0.074014574
Africa,,1885,0.06117203
Africa,,1890,0.064837925
Africa,,1895,0.06382824
Africa,,1900,0.12553339
Africa,,1905,0.21800879
Africa,,1910,0.29702055
Africa,,1915,0.36125177
Africa,,1920,0.42103922
Africa,,1925,0.45974714
Africa,,1930,0.5092746
Africa,,1935,0.5549296
Africa,,1940,0.56852806
Africa,,1945,0.57956994
Africa,,1950,0.5526342
Africa,,1955,0.53931254
Africa,,1960,0.5247982
Africa,,1965,0.51305085
Africa,,1970,0.52579385
Africa,,1975,0.5448542
Africa,,1980,0.5572146
Africa,,1985,0.5897002
Africa,,1990,0.6502244
Africa,,1995,0.7033309
Africa,,2000,0.73514533
Africa,,2005,0.7800801
Africa,,2010,0.8292929
Albania,ALB,2015,0.96847296
Albania,ALB,2020,0.96666664
Albania,ALB,2025,0.96564525
Albania,ALB,2030,0.9690909
Albania,ALB,2035,0.9689441
Albania,ALB,2040,0.96972317
Albania,ALB,1985,0.8935407
Albania,ALB,1990,0.91536754
Albania,ALB,1995,0.9441914
Albania,ALB,2000,0.96343875
Albania,ALB,2005,0.98065764
Albania,ALB,2010,0.9904672
Albania,ALB,1870,1
Albania,ALB,1875,1
Albania,ALB,1880,1
Albania,ALB,1885,1.25
Albania,ALB,1890,1.5
Albania,ALB,1895,1.5999999
Albania,ALB,1900,1.2857144
Albania,ALB,1905,1.2222222
Albania,ALB,1910,1
Albania,ALB,1915,0.96
Albania,ALB,1920,0.87179494
Albania,ALB,1925,0.8545454
Albania,ALB,1930,0.8472222
Albania,ALB,1935,0.82608694
Albania,ALB,1940,0.76859504
Albania,ALB,1945,0.78109455
Albania,ALB,1950,0.70061725
Albania,ALB,1955,0.67908305
Albania,ALB,1960,0.71087533
