Year,Male,Female
1970,293206551.0,378158085.0
1971,297000845.0,384608408.0
1972,297588098.0,384791594.0
1973,292965288.0,373950791.0
1974,297935724.0,379202935.0
1975,297626940.0,375822658.0
1976,296753022.0,374871613.0
1977,302738985.0,386897575.0
1978,315985402.0,412888404.0
1979,320918649.0,421053780.0
1980,321636680.0,423163313.0
1981,327012093.0,427770670.0
1982,331774337.0,434019063.0
1983,336020606.0,439466152.0
1984,341856106.0,444931106.0
1985,341793758.0,439456296.0
1986,341632730.0,433797136.0
1987,340981341.0,429994623.0
1988,340126434.0,427720299.0
1989,341623869.0,427322523.0
1990,344416933.0,429937009.0
1991,343904529.0,427674593.0
1992,347444925.0,431563386.0
1993,345695585.0,426578925.0
1994,350569282.0,429685022.0
1995,351972154.0,430543056.0
1996,353293558.0,428131122.0
1997,357775127.0,431055049.0
1998,367359644.0,439879456.0
1999,388300544.0,462438114.0
2000,383890004.0,452318614.0
2001,390349819.0,451258488.0
2002,386844028.0,442522593.0
2003,371230663.0,407381133.0
2004,362983278.0,394123686.0
2005,364309059.0,390479554.0
2006,357522057.0,378072248.0
2007,330617259.0,353957804.0
2008,319751527.0,336326705.0
2009,327990632.0,336547610.0
2010,317302799.0,323412570.0
2011,310150803.0,310142519.0
2012,299301267.0,298526546.0
2013,330180584.0,321086172.0
2014,304740381.0,300561647.0
2015,295704535.0,293990920.0
2016,286232442.0,285030034.0
2017,289348688.0,287094368.0
2018,290728509.0,288476058.0
2019,278978776.0,277022828.0
